"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Monday, legs? Frontdeltaforce?","2 Jun 2025, 16:52","2 Jun 2025, 18:13","","Overhead Press (Barbell)",,"",1,"normal",50,8,,,
"Monday, legs? Frontdeltaforce?","2 Jun 2025, 16:52","2 Jun 2025, 18:13","","Overhead Press (Barbell)",,"",2,"normal",50,8,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Triceps Extension (Suspension)",,"20 rett på første 19 rett på andre 18 på siste",0,"normal",,15,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Triceps Extension (Suspension)",,"20 rett på første 19 rett på andre 18 på siste",1,"normal",,12,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Triceps Extension (Suspension)",,"20 rett på første 19 rett på andre 18 på siste",2,"normal",,8,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Preacher Curl (Dumbbell)",,"",0,"normal",14,12,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Preacher Curl (Dumbbell)",,"",1,"normal",14,12,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Preacher Curl (Dumbbell)",,"",2,"normal",14,8,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Single Arm Lat Pulldown",,"",0,"normal",55,19,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Single Arm Lat Pulldown",,"",1,"normal",60,20,,,
"Funday Wednesday","28 May 2025, 15:44","28 May 2025, 16:31","","Single Arm Lat Pulldown",,"",2,"normal",60,21,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","HIIT",,"",0,"normal",,,,1260,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,11,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,11,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Incline Bench Press (Dumbbell)",,"",2,"normal",60,10,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Lateral Raise (Dumbbell)",,"",0,"normal",10,13,,,
"Monday not so fun day","26 May 2025, 16:50","26 May 2025, 18:02","","Lateral Raise (Dumbbell)",,"",1,"normal",10,13,,,
