"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Squat (Barbell)",,"",2,"normal",90,6,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Squat (Barbell)",,"",3,"normal",90,6,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Gliding Leg Curls",,"",0,"normal",123,13,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Gliding Leg Curls",,"",1,"normal",123,12,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Gliding Leg Curls",,"",2,"normal",123,13,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Bulgarian Split Squat",,"",0,"normal",20,12,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Bulgarian Split Squat",,"",1,"normal",20,12,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Bulgarian Split Squat",,"",2,"normal",20,12,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Standing Calf Raise (Dumbbell)",,"",0,"normal",40,20,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Standing Calf Raise (Dumbbell)",,"",1,"normal",40,20,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Standing Calf Raise (Dumbbell)",,"",2,"normal",40,18,,,
"Friday – Legs (Quads, Hamstrings, Glutes, Calves)","27 Jun 2025, 15:20","27 Jun 2025, 17:01","","Standing Calf Raise (Dumbbell)",,"",3,"normal",40,15,,,
"Monday – Push (Chest, Shoulders, Triceps)","24 Jun 2025, 16:19","24 Jun 2025, 17:59","","Warm Up",,"",0,"normal",,,,600,
"Monday – Push (Chest, Shoulders, Triceps)","24 Jun 2025, 16:19","24 Jun 2025, 17:59","","Incline Bench Press (Dumbbell)",,"",0,"normal",52,10,,,
